timestamp,x_coord,y_coord,speed_knots,heading_deg,depth_m,signal_strength
2025-09-16T19:13:03Z,0.00,0.00,13.47,45,404.79,98
2025-09-16T19:14:03Z,0.50,0.50,16.79,45,209.29,98
2025-09-16T19:15:03Z,1.00,1.00,17.01,45,298.05,93
2025-09-16T19:16:03Z,1.50,1.50,11.71,45,262.79,98
2025-09-16T19:17:03Z,2.00,2.00,15.07,45,127.66,94
2025-09-16T19:18:03Z,2.50,2.50,14.22,45,101.00,92
2025-09-16T19:19:03Z,3.00,3.00,17.25,45,128.10,86
2025-09-16T19:20:03Z,3.50,3.50,10.82,45,212.38,85
2025-09-16T19:21:03Z,4.00,4.00,10.22,45,268.12,84
2025-09-16T19:22:03Z,4.50,4.50,12.50,45,226.57,82
2025-09-16T19:23:03Z,5.00,5.00,15.13,45,243.13,98
2025-09-16T19:24:03Z,5.50,5.50,14.09,45,297.38,97
2025-09-16T19:25:03Z,6.00,6.00,15.27,45,148.98,87
2025-09-16T19:26:03Z,6.50,6.50,19.48,45,125.46,83
2025-09-16T19:27:03Z,7.00,7.00,15.78,45,275.48,85
2025-09-16T19:28:03Z,7.50,7.50,15.94,45,210.62,100
2025-09-16T19:29:03Z,8.00,8.00,19.45,45,287.42,90
2025-09-16T19:30:03Z,8.50,8.50,13.43,45,241.27,86
2025-09-16T19:31:03Z,9.00,9.00,17.07,45,169.09,80
2025-09-16T19:32:03Z,9.50,9.50,16.71,45,213.00,94
2025-09-16T19:33:03Z,10.00,10.00,10.12,45,421.21,96
2025-09-16T19:34:03Z,10.50,10.50,10.62,45,286.76,85
2025-09-16T19:35:03Z,11.00,11.00,15.95,45,165.85,84
2025-09-16T19:36:03Z,11.50,11.50,15.24,45,256.48,88
2025-09-16T19:37:03Z,12.00,12.00,18.81,45,163.12,82
2025-09-16T19:38:03Z,12.50,12.50,19.27,45,228.47,95
2025-09-16T19:39:03Z,13.00,13.00,18.93,45,277.40,82
2025-09-16T19:40:03Z,13.50,13.50,13.02,45,202.70,82
2025-09-16T19:41:03Z,14.00,14.00,19.99,45,231.48,91
2025-09-16T19:42:03Z,14.50,14.50,19.35,45,119.98,98
2025-09-16T19:43:03Z,15.00,15.00,13.35,45,264.97,91
2025-09-16T19:44:03Z,15.50,15.50,16.21,45,233.21,92
2025-09-16T19:45:03Z,16.00,16.00,10.89,45,262.69,82
2025-09-16T19:46:03Z,16.50,16.50,17.24,45,202.44,95
2025-09-16T19:47:03Z,17.00,17.00,16.83,45,169.03,85
2025-09-16T19:48:03Z,17.50,17.50,15.44,45,137.68,92
2025-09-16T19:49:03Z,18.00,18.00,18.34,45,106.92,82
2025-09-16T19:50:03Z,18.50,18.50,16.75,45,142.60,86
2025-09-16T19:51:03Z,19.00,19.00,10.22,45,232.10,94
2025-09-16T19:52:03Z,19.50,19.50,13.74,45,201.21,93
2025-09-16T19:53:03Z,20.00,20.00,15.46,45,410.58,97
2025-09-16T19:54:03Z,20.50,20.50,19.07,45,263.77,90
2025-09-16T19:55:03Z,21.00,21.00,19.54,45,132.44,100
2025-09-16T19:56:03Z,21.50,21.50,19.86,45,183.58,85
