timestamp,x_coord,y_coord,speed_knots,heading_deg,depth_m,signal_strength
2025-09-16T19:13:02Z,0.00,0.00,10.83,45,208.83,97
2025-09-16T19:14:02Z,0.50,0.50,11.40,45,134.87,97
2025-09-16T19:15:02Z,1.00,1.00,16.70,45,283.78,92
2025-09-16T19:16:02Z,1.50,1.50,17.64,45,276.15,91
2025-09-16T19:17:02Z,2.00,2.00,13.51,45,152.05,82
2025-09-16T19:18:02Z,2.50,2.50,18.09,45,246.31,83
2025-09-16T19:19:02Z,3.00,3.00,19.05,45,233.53,95
2025-09-16T19:20:02Z,3.50,3.50,14.67,45,246.71,83
2025-09-16T19:21:02Z,4.00,4.00,12.20,45,119.16,98
2025-09-16T19:22:02Z,4.50,4.50,15.28,45,269.97,93
2025-09-16T19:23:02Z,5.00,5.00,12.69,45,172.56,91
2025-09-16T19:24:02Z,5.50,5.50,11.89,45,290.83,98
2025-09-16T19:25:02Z,6.00,6.00,17.56,45,180.14,94
2025-09-16T19:26:02Z,6.50,6.50,16.66,45,193.59,99
2025-09-16T19:27:02Z,7.00,7.00,15.42,45,230.93,94
2025-09-16T19:28:02Z,7.50,7.50,16.80,45,192.69,93
2025-09-16T19:29:02Z,8.00,8.00,10.80,45,231.65,94
2025-09-16T19:30:02Z,8.50,8.50,14.89,45,106.40,100
2025-09-16T19:31:02Z,9.00,9.00,15.76,45,250.82,83
2025-09-16T19:32:02Z,9.50,9.50,11.41,45,221.17,94
2025-09-16T19:33:02Z,10.00,10.00,15.44,45,249.74,99
2025-09-16T19:34:02Z,10.50,10.50,16.39,45,230.82,83
2025-09-16T19:35:02Z,11.00,11.00,12.22,45,143.93,84
2025-09-16T19:36:02Z,11.50,11.50,12.11,45,138.04,94
2025-09-16T19:37:02Z,12.00,12.00,12.97,45,178.17,100
2025-09-16T19:38:02Z,12.50,12.50,19.05,45,143.85,84
2025-09-16T19:39:02Z,13.00,13.00,10.90,45,198.94,90
2025-09-16T19:40:02Z,13.50,13.50,10.51,45,132.57,80
2025-09-16T19:41:02Z,14.00,14.00,12.08,45,269.97,92
2025-09-16T19:42:02Z,14.50,14.50,15.27,45,109.18,94
2025-09-16T19:43:02Z,15.00,15.00,17.22,45,237.46,97
2025-09-16T19:44:02Z,15.50,15.50,18.29,45,238.71,88
2025-09-16T19:45:02Z,16.00,16.00,19.27,45,123.91,91
2025-09-16T19:46:02Z,16.50,16.50,10.94,45,198.79,91
2025-09-16T19:47:02Z,17.00,17.00,11.30,45,225.95,94
2025-09-16T19:48:02Z,17.50,17.50,15.17,45,293.41,84
2025-09-16T19:49:02Z,18.00,18.00,19.45,45,218.55,88
2025-09-16T19:50:02Z,18.50,18.50,17.20,45,168.87,87
2025-09-16T19:51:02Z,19.00,19.00,12.09,45,248.21,94
2025-09-16T19:52:02Z,19.50,19.50,17.51,45,221.11,94
2025-09-16T19:53:02Z,20.00,20.00,15.74,45,211.66,85
2025-09-16T19:54:02Z,20.50,20.50,12.04,45,238.97,99
2025-09-16T19:55:02Z,21.00,21.00,12.95,45,286.40,97
2025-09-16T19:56:02Z,21.50,21.50,10.43,45,210.02,98
2025-09-16T19:57:02Z,22.00,22.00,17.64,45,145.51,80
2025-09-16T19:58:02Z,22.50,22.50,15.43,45,189.60,80
2025-09-16T19:59:02Z,23.00,23.00,14.50,45,245.81,84
2025-09-16T20:00:02Z,23.50,23.50,13.45,45,162.54,89
2025-09-16T20:01:02Z,24.00,24.00,12.76,45,146.11,81
2025-09-16T20:02:02Z,24.50,24.50,10.03,45,158.96,91
2025-09-16T20:03:02Z,25.00,25.00,11.20,45,102.85,80
2025-09-16T20:04:02Z,25.50,25.50,16.05,45,273.89,87
2025-09-16T20:05:02Z,26.00,26.00,12.22,45,211.63,82
2025-09-16T20:06:02Z,26.50,26.50,17.12,45,162.12,85
2025-09-16T20:07:02Z,27.00,27.00,10.46,45,118.32,88
2025-09-16T20:08:02Z,27.50,27.50,13.79,45,219.43,90
2025-09-16T20:09:02Z,28.00,28.00,10.69,45,241.24,88
2025-09-16T20:10:02Z,28.50,28.50,14.36,45,172.09,88
