timestamp,x_coord,y_coord,speed_knots,heading_deg,depth_m,signal_strength
2025-09-16T19:13:02Z,0.00,0.00,18.15,135,200.57,96
2025-09-16T19:14:02Z,0.50,0.50,12.15,135,189.04,83
2025-09-16T19:15:02Z,1.00,1.00,15.89,135,217.22,88
2025-09-16T19:16:02Z,1.50,1.50,13.50,135,162.58,82
2025-09-16T19:17:02Z,2.00,2.00,10.64,135,151.18,91
2025-09-16T19:18:02Z,2.50,2.50,12.03,135,134.48,96
2025-09-16T19:19:02Z,3.00,3.00,10.74,135,224.10,85
2025-09-16T19:20:02Z,3.50,3.50,19.97,135,208.65,94
2025-09-16T19:21:02Z,4.00,4.00,10.64,135,134.92,85
2025-09-16T19:22:02Z,4.50,4.50,18.07,135,180.52,93
2025-09-16T19:23:02Z,5.00,5.00,19.48,135,127.74,95
2025-09-16T19:24:02Z,5.50,5.50,18.93,135,151.61,83
2025-09-16T19:25:02Z,6.00,6.00,18.81,135,245.33,89
2025-09-16T19:26:02Z,6.50,6.50,15.76,135,228.96,97
2025-09-16T19:27:02Z,7.00,7.00,10.54,135,100.44,82
2025-09-16T19:28:02Z,7.50,7.50,15.93,135,100.67,84
2025-09-16T19:29:02Z,8.00,8.00,16.83,135,128.12,95
2025-09-16T19:30:02Z,8.50,8.50,14.91,135,263.40,95
2025-09-16T19:31:02Z,9.00,9.00,17.00,135,286.84,96
2025-09-16T19:32:02Z,9.50,9.50,17.65,135,297.93,92
2025-09-16T19:33:02Z,10.00,10.00,12.12,135,192.28,85
2025-09-16T19:34:02Z,10.50,10.50,13.79,135,156.35,85
2025-09-16T19:35:02Z,11.00,11.00,12.92,135,209.09,84
2025-09-16T19:36:02Z,11.50,11.50,16.97,135,199.20,95
2025-09-16T19:37:02Z,12.00,12.00,11.01,135,228.70,94
2025-09-16T19:38:02Z,12.50,12.50,11.59,135,264.85,88
2025-09-16T19:39:02Z,13.00,13.00,17.27,135,148.13,96
2025-09-16T19:40:02Z,13.50,13.50,10.66,135,222.49,80
2025-09-16T19:41:02Z,14.00,14.00,19.38,135,281.48,98
2025-09-16T19:42:02Z,14.50,14.50,17.35,135,187.85,91
2025-09-16T19:43:02Z,15.00,15.00,16.78,135,264.31,90
2025-09-16T19:44:02Z,15.50,15.50,18.25,135,111.78,87
2025-09-16T19:45:02Z,16.00,16.00,17.20,135,236.04,96
2025-09-16T19:46:02Z,16.50,16.50,15.30,135,113.04,97
2025-09-16T19:47:02Z,17.00,17.00,12.61,135,199.98,93
2025-09-16T19:48:02Z,17.50,17.50,12.73,135,135.09,88
2025-09-16T19:49:02Z,18.00,18.00,16.53,135,132.47,95
2025-09-16T19:50:02Z,18.50,18.50,11.76,135,231.65,90
2025-09-16T19:51:02Z,19.00,19.00,16.06,135,277.73,90
2025-09-16T19:52:02Z,19.50,19.50,19.26,135,238.56,93
2025-09-16T19:53:02Z,20.00,20.00,14.11,135,114.13,81
2025-09-16T19:54:02Z,20.50,20.50,19.22,135,250.45,88
2025-09-16T19:55:02Z,21.00,21.00,13.58,135,285.71,98
2025-09-16T19:56:02Z,21.50,21.50,17.83,135,181.30,94
2025-09-16T19:57:02Z,22.00,22.00,14.23,135,235.95,82
2025-09-16T19:58:02Z,22.50,22.50,11.07,135,288.54,87
2025-09-16T19:59:02Z,23.00,23.00,14.33,135,211.32,95
2025-09-16T20:00:02Z,23.50,23.50,18.52,135,186.97,98
2025-09-16T20:01:02Z,24.00,24.00,19.51,135,172.40,86
2025-09-16T20:02:02Z,24.50,24.50,11.72,135,140.15,84
2025-09-16T20:03:02Z,25.00,25.00,15.46,135,175.33,80
