timestamp,x_coord,y_coord,speed_knots,heading_deg,depth_m,signal_strength
2025-09-16T19:13:02Z,0.62,0.91,17.12,46,245.51,80
2025-09-16T19:14:02Z,-0.12,0.09,14.36,42,271.38,99
2025-09-16T19:15:02Z,0.68,1.25,17.97,47,246.72,94
2025-09-16T19:16:02Z,1.26,0.90,18.70,48,249.23,80
2025-09-16T19:17:02Z,2.47,2.12,18.97,45,212.06,85
2025-09-16T19:18:02Z,3.09,2.46,17.26,49,175.74,93
2025-09-16T19:19:02Z,2.03,3.59,11.88,50,215.99,98
2025-09-16T19:20:02Z,3.93,4.35,15.78,44,256.83,100
2025-09-16T19:21:02Z,4.21,4.98,19.95,44,113.06,82
2025-09-16T19:22:02Z,3.95,4.88,18.65,47,210.79,94
2025-09-16T19:23:02Z,5.03,5.31,11.02,47,296.55,94
2025-09-16T19:24:02Z,6.12,5.67,18.60,44,154.20,93
2025-09-16T19:25:02Z,6.37,5.75,19.33,40,136.93,84
2025-09-16T19:26:02Z,5.97,7.02,19.19,46,189.94,81
2025-09-16T19:27:02Z,6.57,7.40,11.66,46,201.23,83
2025-09-16T19:28:02Z,7.74,6.97,18.26,43,150.88,87
2025-09-16T19:29:02Z,7.64,8.31,19.57,42,182.17,88
2025-09-16T19:30:02Z,9.02,7.71,14.76,40,198.82,100
2025-09-16T19:31:02Z,8.04,9.27,19.77,47,166.38,89
2025-09-16T19:32:02Z,10.32,8.79,17.49,46,246.98,91
2025-09-16T19:33:02Z,10.10,9.51,17.05,41,299.38,80
2025-09-16T19:34:02Z,10.15,9.89,15.55,48,172.90,95
2025-09-16T19:35:02Z,11.82,11.91,12.42,50,252.91,80
2025-09-16T19:36:02Z,10.83,10.62,12.25,45,215.45,85
2025-09-16T19:37:02Z,11.69,11.74,19.22,41,144.14,85
2025-09-16T19:38:02Z,12.61,13.23,13.43,50,289.70,89
2025-09-16T19:39:02Z,12.40,13.75,11.13,46,222.52,99
2025-09-16T19:40:02Z,12.73,14.04,14.29,48,107.99,84
2025-09-16T19:41:02Z,13.12,13.69,12.50,40,233.94,82
2025-09-16T19:42:02Z,13.50,13.96,14.71,40,233.97,86
2025-09-16T19:43:02Z,15.51,15.78,15.63,46,273.41,83
2025-09-16T19:44:02Z,14.51,15.56,14.34,50,287.16,84
2025-09-16T19:45:02Z,15.64,15.34,14.21,43,152.58,98
2025-09-16T19:46:02Z,15.98,17.35,17.70,47,293.88,88
2025-09-16T19:47:02Z,17.93,16.29,11.78,49,278.00,94
2025-09-16T19:48:02Z,16.53,18.07,16.50,49,203.78,88
2025-09-16T19:49:02Z,18.83,18.74,17.46,46,164.69,90
2025-09-16T19:50:02Z,18.63,18.36,13.99,43,183.43,80
2025-09-16T19:51:02Z,19.23,19.02,14.96,49,284.77,91
2025-09-16T19:52:02Z,20.32,19.53,15.37,45,201.04,91
2025-09-16T19:53:02Z,20.39,20.77,18.19,40,265.96,95
2025-09-16T19:54:02Z,21.46,20.68,19.15,49,176.04,97
2025-09-16T19:55:02Z,21.93,21.95,15.16,42,161.80,80
2025-09-16T19:56:02Z,21.15,21.09,11.96,43,126.66,83
2025-09-16T19:57:02Z,22.01,21.48,13.19,45,212.71,98
2025-09-16T19:58:02Z,22.08,21.95,18.98,48,192.03,82
2025-09-16T19:59:02Z,23.45,22.85,17.34,42,178.64,87
2025-09-16T20:00:02Z,23.05,24.13,19.22,42,199.15,100
2025-09-16T20:01:02Z,23.57,23.70,19.02,48,139.33,80
2025-09-16T20:02:02Z,25.49,23.76,19.21,50,246.64,98
2025-09-16T20:03:02Z,25.31,24.03,19.03,48,244.73,90
2025-09-16T20:04:02Z,24.85,25.60,15.23,43,263.01,86
2025-09-16T20:05:02Z,26.37,26.02,16.52,50,157.35,100
2025-09-16T20:06:02Z,26.12,26.29,13.40,49,226.45,99
2025-09-16T20:07:02Z,26.06,27.07,14.25,46,109.47,86
2025-09-16T20:08:02Z,28.37,28.25,10.85,40,200.03,80
2025-09-16T20:09:02Z,27.72,27.48,16.71,44,151.41,85
2025-09-16T20:10:02Z,28.46,28.29,17.31,49,106.72,96
2025-09-16T20:11:02Z,28.96,29.91,18.36,42,203.99,88
2025-09-16T20:12:02Z,29.62,30.16,13.78,47,263.76,87
2025-09-16T20:13:02Z,30.90,29.82,14.82,44,181.39,91
2025-09-16T20:14:02Z,30.11,30.31,14.15,50,104.37,86
2025-09-16T20:15:02Z,30.61,31.39,11.41,41,267.56,85
2025-09-16T20:16:02Z,31.74,30.79,13.57,47,237.35,98
2025-09-16T20:17:02Z,32.28,31.82,12.10,46,221.34,93
2025-09-16T20:18:02Z,31.94,31.65,15.68,40,171.45,88
2025-09-16T20:19:02Z,32.31,32.16,16.05,50,244.11,92
2025-09-16T20:20:02Z,34.04,32.68,16.41,48,199.44,89
2025-09-16T20:21:02Z,34.86,33.08,18.02,44,141.97,92
2025-09-16T20:22:02Z,34.63,35.13,16.19,44,179.25,82
2025-09-16T20:23:02Z,35.34,34.33,16.28,48,156.59,84
2025-09-16T20:24:02Z,34.90,35.77,10.17,50,240.73,83
2025-09-16T20:25:02Z,36.33,36.34,17.52,41,226.21,91
2025-09-16T20:26:02Z,37.05,37.40,18.70,48,116.32,85
2025-09-16T20:27:02Z,36.26,37.92,10.70,50,109.66,98
2025-09-16T20:28:02Z,37.92,37.94,18.02,47,123.22,91
2025-09-16T20:29:02Z,38.35,37.10,12.13,43,171.44,91
2025-09-16T20:30:02Z,38.13,38.17,13.87,41,236.01,83
2025-09-16T20:31:02Z,39.15,39.71,12.62,47,249.11,91
2025-09-16T20:32:02Z,39.44,39.96,17.86,50,276.24,87
2025-09-16T20:33:02Z,39.98,40.27,14.81,40,165.71,86
2025-09-16T20:34:02Z,40.36,40.07,19.64,49,212.33,96
2025-09-16T20:35:02Z,40.83,41.23,16.15,48,272.04,90
2025-09-16T20:36:02Z,41.38,41.09,12.65,50,175.63,94
2025-09-16T20:37:02Z,41.88,41.09,12.48,45,246.35,93
2025-09-16T20:38:02Z,42.37,43.09,15.26,48,188.34,95
2025-09-16T20:39:02Z,43.84,43.52,16.15,48,146.18,99
2025-09-16T20:40:02Z,43.95,43.62,12.39,44,101.75,82
2025-09-16T20:41:02Z,44.65,43.59,15.55,46,240.21,97
2025-09-16T20:42:02Z,44.25,45.25,10.95,47,280.37,99
2025-09-16T20:43:02Z,45.24,44.79,19.46,41,125.62,80
2025-09-16T20:44:02Z,44.78,44.71,18.17,41,289.16,91
2025-09-16T20:45:02Z,46.31,45.65,16.99,46,153.39,91
2025-09-16T20:46:02Z,45.80,45.61,17.03,48,169.21,99
2025-09-16T20:47:02Z,47.61,46.13,10.41,48,114.65,97
2025-09-16T20:48:02Z,47.05,46.68,19.67,45,182.60,92
2025-09-16T20:49:02Z,47.47,47.32,13.72,49,183.68,96
2025-09-16T20:50:02Z,48.89,49.28,16.85,49,284.35,90
2025-09-16T20:51:02Z,49.40,48.59,11.40,40,296.54,100
2025-09-16T20:52:02Z,50.26,50.27,18.72,50,184.01,93
2025-09-16T20:53:02Z,50.26,50.54,17.33,41,146.29,82
2025-09-16T20:54:02Z,50.27,50.53,18.56,40,289.13,90
2025-09-16T20:55:02Z,50.29,51.80,19.18,41,289.04,99
2025-09-16T20:56:02Z,50.76,50.99,14.96,49,186.41,94
2025-09-16T20:57:02Z,52.67,52.51,17.00,49,121.43,90
2025-09-16T20:58:02Z,53.43,52.47,10.30,45,199.48,87
2025-09-16T20:59:02Z,53.13,53.36,15.86,40,292.23,84
2025-09-16T21:00:02Z,53.32,52.71,16.83,41,187.57,84
2025-09-16T21:01:02Z,53.96,54.92,13.45,40,160.61,82
2025-09-16T21:02:02Z,54.46,53.81,12.25,50,111.48,100
2025-09-16T21:03:02Z,55.14,55.99,17.56,50,194.44,95
2025-09-16T21:04:02Z,56.15,56.22,15.33,40,130.19,97
2025-09-16T21:05:02Z,56.29,56.86,17.37,47,219.33,90
2025-09-16T21:06:02Z,55.89,56.70,12.38,40,211.61,94
2025-09-16T21:07:02Z,56.24,56.80,16.42,41,153.76,96
2025-09-16T21:08:02Z,57.55,56.73,10.45,41,165.54,92
2025-09-16T21:09:02Z,58.03,57.61,12.29,41,112.09,96
2025-09-16T21:10:02Z,59.22,58.93,16.08,41,286.69,80
2025-09-16T21:11:02Z,58.51,58.93,13.54,40,244.63,80
2025-09-16T21:12:02Z,59.10,58.95,13.43,41,230.22,97
2025-09-16T21:13:02Z,59.88,60.30,11.03,48,212.90,100
2025-09-16T21:14:02Z,61.23,60.62,15.71,46,131.94,88
2025-09-16T21:15:02Z,61.97,60.18,12.95,41,150.80,87
2025-09-16T21:16:02Z,60.78,62.10,17.07,48,207.68,92
2025-09-16T21:17:02Z,61.58,61.03,12.77,49,169.51,93
2025-09-16T21:18:02Z,62.49,61.70,18.41,45,225.70,95
2025-09-16T21:19:02Z,62.71,63.54,17.67,40,195.49,94
2025-09-16T21:20:02Z,63.20,64.03,10.01,50,225.35,93
2025-09-16T21:21:02Z,64.04,64.43,19.58,41,166.94,84
2025-09-16T21:22:02Z,64.00,64.15,18.34,42,115.51,96
2025-09-16T21:23:02Z,65.94,64.19,10.88,42,248.46,89
2025-09-16T21:24:02Z,64.79,65.09,17.30,42,241.77,96
2025-09-16T21:25:02Z,65.96,65.17,15.83,44,144.45,91
2025-09-16T21:26:02Z,66.56,67.14,19.15,50,109.04,96
2025-09-16T21:27:02Z,66.70,66.20,12.44,44,138.47,82
2025-09-16T21:28:02Z,68.07,67.95,16.02,48,288.63,96
2025-09-16T21:29:02Z,68.35,68.60,14.94,45,105.83,87
2025-09-16T21:30:02Z,68.62,68.24,18.96,41,149.83,94
2025-09-16T21:31:02Z,69.68,69.37,17.05,43,131.55,100
2025-09-16T21:32:02Z,69.33,70.23,14.10,47,228.45,90
2025-09-16T21:33:02Z,70.26,69.27,11.18,42,163.59,91
